SLURM_NTASKS:  8
Job started on trace01.wec.local.cmu.edu at Mon Apr 21 23:02:54 EDT 2025
cuda
Epoch 1/1000, Train Loss: 0.08261222016310023, Test Loss: 0.08428393513242775
Epoch 2/1000, Train Loss: 0.07805546164234108, Test Loss: 0.07875961580566157
Epoch 3/1000, Train Loss: 0.07056919610667452, Test Loss: 0.07237031094938795
Epoch 4/1000, Train Loss: 0.06069398559978075, Test Loss: 0.06458576747747226
Epoch 5/1000, Train Loss: 0.0519706658044151, Test Loss: 0.05777369154112361
Epoch 6/1000, Train Loss: 0.04363818243842259, Test Loss: 0.050386994311185644
Epoch 7/1000, Train Loss: 0.03591399422246162, Test Loss: 0.04454767220070429
Epoch 8/1000, Train Loss: 0.03159207213565568, Test Loss: 0.04071151687998638
Epoch 9/1000, Train Loss: 0.027328022128998118, Test Loss: 0.03855393372615364
Epoch 10/1000, Train Loss: 0.02513745732640273, Test Loss: 0.03654254732705722
Epoch 11/1000, Train Loss: 0.02197553256578813, Test Loss: 0.035098652625195334
Epoch 12/1000, Train Loss: 0.01950255333158736, Test Loss: 0.032291756890644535
Epoch 13/1000, Train Loss: 0.018885740679558193, Test Loss: 0.03301237269400436
Epoch 14/1000, Train Loss: 0.016274873289131672, Test Loss: 0.030510851991510837
Epoch 15/1000, Train Loss: 0.015990685932686394, Test Loss: 0.03140631673213477
Epoch 16/1000, Train Loss: 0.013593682148885504, Test Loss: 0.03005929729927366
Epoch 17/1000, Train Loss: 0.012721565778358517, Test Loss: 0.02936152640347169
Epoch 18/1000, Train Loss: 0.012098596644561702, Test Loss: 0.03021627591452866
Epoch 19/1000, Train Loss: 0.011057376165256321, Test Loss: 0.027212622079336755
Epoch 20/1000, Train Loss: 0.009627388165741463, Test Loss: 0.027333085329454637
Epoch 21/1000, Train Loss: 0.009148985987407304, Test Loss: 0.027321488291860742
Epoch 22/1000, Train Loss: 0.00891548239356168, Test Loss: 0.027154273623339484
Epoch 23/1000, Train Loss: 0.007965749575730378, Test Loss: 0.02653149271679816
Epoch 24/1000, Train Loss: 0.00813115561798772, Test Loss: 0.027305853770715052
Epoch 25/1000, Train Loss: 0.0076498964923285995, Test Loss: 0.026105783531598956
Epoch 26/1000, Train Loss: 0.0076589700852947255, Test Loss: 0.026844399380628194
Epoch 27/1000, Train Loss: 0.006935155134491414, Test Loss: 0.025060598016063744
Epoch 28/1000, Train Loss: 0.006081031609291785, Test Loss: 0.02465395643332294
Epoch 29/1000, Train Loss: 0.0065080640363184925, Test Loss: 0.02578835161489861
Epoch 30/1000, Train Loss: 0.007641838154120144, Test Loss: 0.026929774678477618
Epoch 31/1000, Train Loss: 0.0056692720608455, Test Loss: 0.02374338083595873
Epoch 32/1000, Train Loss: 0.005342752890330609, Test Loss: 0.02286884098130966
Epoch 33/1000, Train Loss: 0.005444458959989737, Test Loss: 0.023596369791950022
Epoch 34/1000, Train Loss: 0.0046201000669013675, Test Loss: 0.02219484046658623
Epoch 35/1000, Train Loss: 0.005122938208612744, Test Loss: 0.02288415575417403
Epoch 36/1000, Train Loss: 0.005458399572923223, Test Loss: 0.023669533988582753
Epoch 37/1000, Train Loss: 0.004441995515322713, Test Loss: 0.021643386701139335
Epoch 38/1000, Train Loss: 0.004817735902077266, Test Loss: 0.022496945877498554
Epoch 39/1000, Train Loss: 0.005196714960909057, Test Loss: 0.02061460661553891
Epoch 40/1000, Train Loss: 0.004974684090501516, Test Loss: 0.020868951176232265
Epoch 41/1000, Train Loss: 0.004498581176789077, Test Loss: 0.01976338735668459
Epoch 42/1000, Train Loss: 0.0038455843329255547, Test Loss: 0.02091371577894576
Epoch 43/1000, Train Loss: 0.0036015404588499358, Test Loss: 0.02178653425354267
Epoch 44/1000, Train Loss: 0.0037852912492806388, Test Loss: 0.018610290591126292
Epoch 45/1000, Train Loss: 0.003979043274569525, Test Loss: 0.019109684399494502
Epoch 46/1000, Train Loss: 0.003180778696349709, Test Loss: 0.018481652435159014
Epoch 47/1000, Train Loss: 0.0033571776617361913, Test Loss: 0.020296492065503217
Epoch 48/1000, Train Loss: 0.0029870120941217397, Test Loss: 0.01738667362761275
Epoch 49/1000, Train Loss: 0.0030048120675486662, Test Loss: 0.01836662138942803
Epoch 50/1000, Train Loss: 0.003524733988011134, Test Loss: 0.019486528864809286
Epoch 51/1000, Train Loss: 0.002854434034578224, Test Loss: 0.020233817885969285
Epoch 52/1000, Train Loss: 0.00361190980004373, Test Loss: 0.018803265224271847
Epoch 53/1000, Train Loss: 0.0029500761650346013, Test Loss: 0.019236193099450842
Epoch 54/1000, Train Loss: 0.0022906459363125197, Test Loss: 0.01823465346802618
Epoch 55/1000, Train Loss: 0.002357479652703226, Test Loss: 0.018845257253568864
Epoch 56/1000, Train Loss: 0.0025151424201327226, Test Loss: 0.01925525493989481
Epoch 57/1000, Train Loss: 0.0030786868698337924, Test Loss: 0.019957499213029292
Epoch 58/1000, Train Loss: 0.0024738549178675096, Test Loss: 0.01802799450320618
Early stop
------------------- Training Complete -------------------
 
Job Ended at Mon Apr 21 23:34:12 EDT 2025
